Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2001-01-02,104.56200000000001,106.375,104.56200000000001,106.281,,106.281,236214.0,404314.0
2001-01-03,106.25,106.93799999999999,104.094,104.43799999999999,,104.43799999999999,327712.0,406937.0
2001-01-04,104.25,105.156,104.094,105.125,,105.125,274150.0,406312.0
2001-01-05,105.031,105.844,104.56200000000001,105.594,,105.594,265739.0,400840.0
2001-01-08,105.68799999999999,105.75,105.219,105.594,,105.594,199388.0,403233.0
2001-01-09,105.375,105.469,104.719,105.281,,105.281,239984.0,403600.0
2001-01-10,105.281,105.375,104.281,104.5,,104.5,244691.0,400758.0
2001-01-11,104.406,104.719,103.56200000000001,103.719,,103.719,267124.0,397505.0
2001-01-12,103.844,103.844,102.781,102.906,,102.906,240654.0,389053.0
2001-01-16,102.93799999999999,103.406,102.781,103.18799999999999,,103.18799999999999,163690.0,388133.0
2001-01-17,103.18799999999999,104.375,102.75,104.06200000000001,,104.06200000000001,330192.0,387071.0
2001-01-18,104.094,104.875,103.781,104.75,,104.75,267540.0,394314.0
2001-01-19,104.56200000000001,104.625,103.56200000000001,103.719,,103.719,233782.0,380191.0
2001-01-22,103.75,103.75,103.031,103.18799999999999,,103.18799999999999,183360.0,392009.0
2001-01-23,103.25,103.719,102.531,102.594,,102.594,253570.0,401238.0
2001-01-24,102.5,103.031,102.18799999999999,102.43799999999999,,102.43799999999999,245625.0,406147.0
2001-01-25,102.5,103.281,101.969,102.93799999999999,,102.93799999999999,318169.0,410982.0
2001-01-26,103.344,103.43799999999999,102.5,102.781,,102.781,162965.0,406009.0
2001-01-29,102.781,103.031,102.25,102.43799999999999,,102.43799999999999,129920.0,410493.0
2001-01-30,102.406,103.656,102.281,103.469,,103.469,242103.0,413141.0
2001-01-31,103.5,104.406,103.406,104.06200000000001,,104.06200000000001,249100.0,406405.0
2001-02-01,104.31200000000001,105.469,104.25,105.125,,105.125,301340.0,413061.0
2001-02-02,104.969,105.281,104.31200000000001,104.406,,104.406,241262.0,418557.0
2001-02-05,104.31200000000001,105.0,104.281,104.68799999999999,,104.68799999999999,140709.0,417098.0
2001-02-06,104.625,104.906,104.219,104.344,,104.344,194350.0,419333.0
2001-02-07,104.469,104.875,104.156,104.344,,104.344,193616.0,423659.0
2001-02-08,104.18799999999999,104.56200000000001,103.75,104.344,,104.344,264941.0,435718.0
2001-02-09,104.406,105.094,104.25,105.0,,105.0,215185.0,444142.0
2001-02-12,104.93799999999999,105.0,104.31200000000001,104.406,,104.406,163544.0,427819.0
2001-02-13,104.469,105.06200000000001,103.969,104.219,,104.219,309115.0,435500.0
2001-02-14,104.31200000000001,104.469,103.781,104.031,,104.031,189709.0,430635.0
2001-02-15,103.81200000000001,103.906,102.969,103.219,,103.219,270971.0,413070.0
2001-02-16,103.375,103.906,102.56200000000001,103.75,,103.75,240243.0,394585.0
2001-02-20,103.875,103.93799999999999,103.25,103.81200000000001,,103.81200000000001,146972.0,387525.0
2001-02-21,103.75,103.906,103.031,103.344,,103.344,279776.0,386438.0
2001-02-22,103.43799999999999,103.81200000000001,102.93799999999999,103.219,,103.219,317502.0,354823.0
2001-02-23,103.094,104.094,102.906,103.781,,103.781,284449.0,313357.0
2001-02-26,103.75,104.43799999999999,103.43799999999999,104.281,,104.281,273532.0,266309.0
2001-02-27,104.406,105.625,104.31200000000001,105.469,,105.469,419662.0,217030.0
2001-02-28,105.531,105.906,105.06200000000001,105.594,,105.594,117118.0,171075.0
2001-03-01,105.781,106.469,105.781,106.25,,106.25,46505.0,137159.0
2001-03-02,106.219,106.5,105.031,105.094,,105.094,22436.0,124000.0
2001-03-05,105.156,105.25,104.844,105.125,,105.125,21045.0,109636.0
2001-03-06,104.875,105.594,104.75,104.93799999999999,,104.93799999999999,17709.0,102593.0
2001-03-07,105.094,105.875,104.93799999999999,105.75,,105.75,26213.0,80826.0
2001-03-08,105.781,106.25,105.75,105.93799999999999,,105.93799999999999,9201.0,74914.0
2001-03-09,105.906,106.25,105.18799999999999,105.719,,105.719,12231.0,67224.0
2001-03-12,105.81200000000001,106.25,105.625,105.875,,105.875,4820.0,64275.0
2001-03-13,106.0,106.031,105.531,105.656,,105.656,15810.0,56187.0
2001-03-14,105.875,106.719,105.75,106.344,,106.344,15543.0,47482.0
2001-03-15,106.469,106.844,106.094,106.43799999999999,,106.43799999999999,9401.0,40462.0
2001-03-16,106.531,107.156,106.43799999999999,106.844,,106.844,9973.0,36859.0
2001-03-19,106.719,106.719,106.281,106.344,,106.344,11720.0,30803.0
2001-03-20,106.5,106.906,106.219,106.656,,106.656,9380.0,23655.0
2001-03-21,106.906,107.06200000000001,106.531,106.781,,106.781,15934.0,13628.0
2001-03-22,106.344,107.25,106.18799999999999,106.875,,106.875,293147.0,500348.0
2001-03-23,106.531,106.594,105.969,106.125,,106.125,165600.0,497509.0
2001-03-26,106.0,106.06200000000001,105.219,105.406,,105.406,161156.0,495892.0
2001-03-27,105.31200000000001,105.75,103.969,104.125,,104.125,272300.0,500377.0
2001-03-28,104.18799999999999,104.469,103.81200000000001,104.0,,104.0,175231.0,485401.0
2001-03-29,104.125,104.375,103.531,103.906,,103.906,195148.0,481986.0
2001-03-30,103.656,104.656,103.5,104.18799999999999,,104.18799999999999,253031.0,487072.0
2001-04-02,104.406,104.469,103.625,103.875,,103.875,181864.0,481477.0
2001-04-03,103.781,104.219,103.5,104.031,,104.031,187911.0,486444.0
2001-04-04,104.156,104.25,103.531,103.93799999999999,,103.93799999999999,221777.0,486762.0
